feature,coef,odds_ratio
categories__previous_loan_default_Yes,5.345526736494921,209.6682954606496
categories__home_ownership_OWN,1.751004317241149,5.760385025859999
categories__loan_purpose_VENTURE,1.004844470701121,2.7314824142430174
numbers__loan_amount_capped,0.7788528388493544,2.1789712001008192
categories__credit_score_band_Good,0.7584670248242007,2.135000807336766
categories__credit_score_band_Very good,0.7341878227726379,2.0837888991616382
categories__gender_female,0.6878776500359809,1.9894886581935114
categories__gender_male,0.6848337173382321,1.9834419961000564
categories__loan_purpose_EDUCATION,0.5679125505150668,1.764579733172239
categories__age_bucket_18_25,0.48762031855892474,1.6284364454853284
categories__loan_purpose_PERSONAL,0.4087340600278449,1.5049114511546955
categories__credit_score_band_Fair,0.39693745467930674,1.4872629058068225
categories__age_bucket_26_35,0.3941405628547161,1.4831090040593335
categories__age_bucket_36_50,0.38723037643093705,1.4728957726616652
categories__education_Doctorate,0.35670366212296295,1.4286124551380022
categories__education_Associate,0.27597432951130685,1.3178140346628204
categories__education_Master,0.27520377193825424,1.3167989742100208
categories__education_Bachelor,0.25402787030840185,1.2892077343842616
categories__education_High School,0.210801733493288,1.234667537573017
categories__home_ownership_MORTGAGE,0.17629449892118512,1.1927892820874453
categories__age_bucket_50_plus,0.10372010952964347,1.1092899317806086
numbers__employment_experience_length,0.047609902948098116,1.0487614567636518
numbers__credit_history_length,0.01113296290864577,1.011195164956929
categories__loan_purpose_MEDICAL,-0.024435512820629685,0.9758606173880197
numbers__income_capped,-0.11122694500810215,0.8947356700921402
categories__home_ownership_OTHER,-0.1369775930405822,0.8719897645524773
categories__loan_purpose_DEBTCONSOLIDATION,-0.25602386228876817,0.7741234962134413
categories__loan_purpose_HOMEIMPROVEMENT,-0.32832033876042216,0.7201322964652863
categories__home_ownership_RENT,-0.4176098557475971,0.6586191347762558
categories__credit_score_band_Poor,-0.5168809349019291,0.5963777911870095
numbers__loan_interest_rate,-0.9909530102862636,0.37122274329806554
numbers__loan_percent_to_income_capped,-1.4658855475766839,0.2308734515002596
categories__previous_loan_default_No,-3.972815369120694,0.018820372182433293
